District,Model,R2_Score,RMSE,MAE
AWV212,Linear_Regression,0.06786201714045803,282.64109631766286,186.25093332255233
AWV212,Ridge_Regression,0.0681294830205107,282.6005431621013,186.1783502119519
AWV212,Poisson_Regression,0.0628925652918767,283.39350867024154,187.52252391063763
AWV212,Random_Forest,-0.42476588080945965,349.43544832566323,256.60583227636033
AWV212,Gradient_Boosting,-0.004048474984644113,293.34085055282753,197.52631986464664
AWV123,Linear_Regression,-0.059540202138835374,305.15287945330607,206.80830443495293
AWV123,Ridge_Regression,0.03457894814921059,291.284338712492,197.18477504484383
AWV123,Poisson_Regression,0.027667089323165306,292.32519312496225,200.55096661577733
AWV123,Random_Forest,-0.1259860999497524,314.57576911774817,240.09036553192905
AWV123,Gradient_Boosting,-0.045993518609356965,303.1958476361664,220.53561183882226
AWV114,Linear_Regression,0.09578886025753275,220.88358973496423,175.5103452534066
AWV114,Ridge_Regression,0.11629779148769703,218.36422836334145,173.14406206955135
AWV114,Poisson_Regression,0.11179701691617994,218.91959642226487,173.67163891363288
AWV114,Random_Forest,0.08254233043800174,222.49565940886097,176.3304609513267
AWV114,Gradient_Boosting,0.08546623659603636,222.14083345713848,174.94249373470598
AWV413,Linear_Regression,0.12767294446031252,182.59543156241898,150.72400128894705
AWV413,Ridge_Regression,0.13307875851341144,182.0287800236739,150.53811130698674
AWV413,Poisson_Regression,0.12690260227455452,182.6760377540088,150.98766669037758
AWV413,Random_Forest,0.1245443320733226,182.9225789463771,150.6923150124039
AWV413,Gradient_Boosting,0.1137621414875053,184.04557724140034,151.33021633689347
AWV112,Linear_Regression,-0.9463220769972716,516.419468922931,369.39875219472896
AWV112,Ridge_Regression,0.06546498590176641,357.8434243634226,302.8146718502021
AWV112,Poisson_Regression,0.06412342101510815,358.10018200174426,303.698340556528
AWV112,Random_Forest,0.06166067031301803,358.5710411251863,304.8149550685426
AWV112,Gradient_Boosting,0.04957436171318552,360.87294506810275,303.4290612763581
AWV415,Linear_Regression,0.05680951286926006,431.1509947138363,312.1335424770895
AWV415,Ridge_Regression,0.06757611729682445,428.6831180073073,307.82887070038373
AWV415,Poisson_Regression,0.06121586236044707,430.1427010340894,310.79490361463866
AWV415,Random_Forest,-0.03900974141514313,452.5217897864577,358.44404877793886
AWV415,Gradient_Boosting,0.0029999274997614123,443.2791265521787,332.4647560783755
AWV213,Linear_Regression,0.03597984880096894,827.7432273484505,580.1271972468347
AWV213,Ridge_Regression,0.03755552777469251,827.0664826862352,580.2735460073811
AWV213,Poisson_Regression,0.03540871021695535,827.9883913594208,581.8940520394996
AWV213,Random_Forest,-0.017026375740303523,850.1952768845176,617.5277393552984
AWV213,Gradient_Boosting,-0.026870664914123488,854.3000929041151,576.5401993078156
AWV411,Linear_Regression,-0.009048992987649829,357.82491660935983,239.61144662819126
AWV411,Ridge_Regression,0.006744076078173955,355.01363559721494,236.17495472128016
AWV411,Poisson_Regression,0.00735439575484631,354.90454734687535,236.14087137114547
AWV411,Random_Forest,0.019160077561228617,352.78776844685996,238.66953918274456
AWV411,Gradient_Boosting,-0.03190601398605586,361.8549549247821,234.72625980228764
AWV720,Linear_Regression,-0.7482101594867738,934.5517400250765,666.1948855156048
AWV720,Ridge_Regression,0.062357223880039836,684.4240102013725,549.774380419532
AWV720,Poisson_Regression,0.05994408578520083,685.304168618082,550.5297002739269
AWV720,Random_Forest,-0.009561592839065547,710.1873636485083,523.486208601357
AWV720,Gradient_Boosting,-0.00020478935124335074,706.8886286425188,530.8251541239454
AWV315,Linear_Regression,0.16487904427391575,529.121738897216,354.2063477283499
AWV315,Ridge_Regression,0.21540654704341655,512.865226621469,339.86598043433673
AWV315,Poisson_Regression,0.22748011251256328,508.9038639142431,333.8051435791347
AWV315,Random_Forest,0.2210242113157811,511.02587889982505,335.8500461033853
AWV315,Gradient_Boosting,0.17826852853238218,524.8628981908306,342.08484937270657
AWV312,Linear_Regression,0.042815265177444606,329.63839615092,274.90580932797286
AWV312,Ridge_Regression,0.0465878537616109,328.9881466338472,274.4930251460541
